Type,Area(m2),Price(VNĐ),Bedroom(Phòng),Floor(Tầng),Furniture,Legal,Posting date,District,Project
Nhà riêng,51,14500000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,1,Không
Nhà riêng,42,8900000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Nhà mặt phố,95,17500000000,3,1,Không nội thất,Sổ đỏ và sổ hồng,5/14/2025,2,Dự án Cát Lái Invesco
Căn hộ chung cư,78,32000000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,1,Không
Nhà riêng,52,8500000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Nhà mặt phố,118,12000000000,4,2,Không có thông tin,Không có thông tin,5/14/2025,2,Không
Nhà riêng,54,7990000000,3,3,Không có thông tin,Không có thông tin,4/29/2025,10,Không
Căn hộ chung cư,49,2300000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,7,Dự án Jamona City
Nhà mặt phố,220,36000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/14/2025,2,Không
Nhà riêng,45,7500000000,2,2,Không nội thất,Sổ đỏ và sổ hồng,4/29/2025,3,Không
Nhà riêng,36.5,7700000000,2,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Nhà riêng,16.5,2800000000,1,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,1,Không
Nhà riêng,30,7500000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/29/2025,5,Không
Căn hộ chung cư,80,4620000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/3/2025,7,Dự án Căn hộ Florita
Nhà riêng,44,7200000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Căn hộ chung cư,85,3900000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà riêng,44,5900000000,2,2,Không nội thất,Sổ đỏ và sổ hồng,4/28/2025,10,Không
Nhà riêng,56,5800000000,2,2,Không nội thất,Sổ đỏ và sổ hồng,4/28/2025,10,Không
Căn hộ chung cư,80,3550000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/28/2025,7,Không
Nhà riêng,36,6200000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,4/28/2025,1,Không
Nhà riêng,35,6950000000,3,4,Không nội thất,Sổ đỏ và sổ hồng,4/28/2025,3,Không
Căn hộ chung cư,102,4200000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Belleza Apartment
Nhà riêng,33,6000000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,4/28/2025,5,Không
Căn hộ chung cư,70,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,9,Dự án Jamila Khang Điền
Nhà riêng,19.6,3750000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/28/2025,1,Không
Nhà riêng,27,5900000000,2,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/28/2025,10,Không
Căn hộ chung cư,88,3550000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/8/2025,7,Không
Căn hộ chung cư,57,2250000000,2,3,Không có thông tin,Không có thông tin,5/3/2025,7,Không
Căn hộ chung cư,239,27100000000,4,3,Nội thất cơ bản,Hợp đồng mua bán,5/14/2025,2,Dự án Feliz En Vista
Nhà riêng,79,,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Nhà riêng,66,9500000000,1,1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,11,Không
Nhà riêng,72,4850000000,2,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/7/2025,12,Không
Căn hộ chung cư,123,15500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Riverpark Residence
Nhà riêng,24.3,4180000000,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/17/2025,7,Không
Nhà riêng,21.4,4300000000,2,2,Nội thất đầy đủ,Sổ hồng,5/3/2025,7,Không
Căn hộ chung cư,48,2150000000,1,3,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Jamona City
Căn hộ chung cư,140,12000000000,3,3,Nội thất sang trọng,Sổ hồng,5/19/2025,7,Dự án Riverpark Premier
Nhà riêng,97.3,33500000000,6,3,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,1,Không
Nhà mặt phố,74.7,26000000000,7,5,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,5,Không
Căn hộ chung cư,85,3900000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/3/2025,8,Dự án Topaz Elite
Nhà mặt phố,52,6900000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,6,Không
Nhà riêng,101,16300000000,4,4,Nội thất đầy đủ,Đang chờ sổ,5/14/2025,8,Không
Nhà mặt phố,54,13900000000,3,3,Không có thông tin,Không có thông tin,5/19/2025,6,Không
Nhà mặt phố,110,9600000000,5,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,93.2,13900000000,3,3,Nội thất cơ bản,Hợp đồng mua bán,5/19/2025,2,Dự án Lumiere Riverside
Căn hộ chung cư,95,2700000000,3,3,Không có thông tin,Hợp đồng mua bán,5/3/2025,8,Không
Nhà riêng,60,5600000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,65,2200000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/15/2025,12,Dự án Hưng Ngân Garden
Căn hộ chung cư,70,2400000000,2,3,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Jamona City
Căn hộ chung cư,94,13000000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/13/2025,2,Dự án The River Thủ Thiêm
Căn hộ chung cư,45,1980000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,5/2/2025,7,Không
Đất bán,50,3600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,9,Không
Nhà mặt phố,102,16000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Nhà riêng,59,7500000000,5,2,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,1,Không
Đất bán,156,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,2,Không
"Nhà biệt thự, liền kề",176,19000000000,4,3,Nội thất sang trọng,Không có thông tin,5/14/2025,9,Dự án Khang An
Căn hộ chung cư,70,3500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,7,Dự án Jamona City
Căn hộ chung cư,73,3500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/28/2025,7,Dự án Jamona City
Đất bán,144,5700000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,48,2600000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/28/2025,7,Dự án Jamona City
Căn hộ chung cư,73,2900000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/28/2025,7,Dự án Jamona City
Căn hộ chung cư,88,3600000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,7,Dự án Belleza Apartment
Căn hộ chung cư,88,3550000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Belleza Apartment
Nhà riêng,99,4850000000,5,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,12,Không
Nhà mặt phố,51,6200000000,4,4,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,12,Dự án Zenta Home 16
Căn hộ chung cư,71,2890000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án The Era Town
Căn hộ chung cư,70,3400000000,2,3,Không nội thất,Sổ hồng,5/10/2025,7,Dự án Jamona City
Căn hộ chung cư,102,4200000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Đất bán,82,15800000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,Thanh Quan,Không
Đất bán,227,9800000000,-1,-1,Không có thông tin,Không có thông tin,5/14/2025,2,Không
Nhà riêng,100,17500000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/28/2025,3,Không
Nhà riêng,48,5100000000,2,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,1,Không
Căn hộ chung cư,91,6650000000,2,3,Không có thông tin,Không có thông tin,5/6/2025,7,Dự án The Infiniti Riviera Point
Đất bán,100,12500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/14/2025,2,Không
Nhà riêng,48,4900000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/14/2025,12,Không
Đất nền dự án,125,35000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/17/2025,9,Dự án Hoàng Anh Minh Tuấn
Căn hộ chung cư,130,9230000000,3,3,Nội thất cơ bản,Không có thông tin,5/8/2025,7,Không
Căn hộ chung cư,77,4550000000,2,3,Không có thông tin,Không có thông tin,5/5/2025,10,Dự án Rivera Park Sài Gòn
Nhà riêng,52,11700000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,88,5200000000,2,3,Không có thông tin,Không có thông tin,5/11/2025,10,Dự án Rivera Park Sài Gòn
Đất bán,70,5200000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/14/2025,2,Không
Nhà mặt phố,122,12000000000,3,4,Không có thông tin,Không có thông tin,5/14/2025,2,Không
Căn hộ chung cư,124,15300000000,3,3,Không có thông tin,Không có thông tin,5/3/2025,7,Không
Nhà riêng,78.6,,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,10,Không
Căn hộ chung cư,54,3890000000,1,3,Nội thất đầy đủ,Không có thông tin,5/16/2025,9,Dự án The Opus One - Vinhomes Grand Park
Nhà riêng,55,,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,5,Không
Nhà riêng,66.9,,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,10,Không
Nhà riêng,14,2100000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Căn hộ chung cư,68,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,2,Dự án New City Thủ Thiêm
Nhà riêng,62.5,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,1,Không
Đất bán,79,4500000000,-1,-1,Không có thông tin,Sổ hồng,5/8/2025,9,Không
Căn hộ chung cư,114,4800000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà riêng,11.8,1850000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,80,4400000000,2,3,Nội thất cơ bản,Không có thông tin,5/3/2025,7,Dự án Căn hộ Florita
Căn hộ chung cư,145.88,29480000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/13/2025,1,Không
Căn hộ chung cư,118,9800000000,3,3,Không có thông tin,Không có thông tin,5/3/2025,7,Dự án Cảnh Viên 2
Căn hộ chung cư,78,4750000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Him Lam Riverside
Căn hộ chung cư,90,7000000000,2,3,Không có thông tin,Không có thông tin,5/8/2025,7,Dự án Midtown Phú Mỹ Hưng
Nhà riêng,85.8,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,6,Không
Đất nền dự án,210,,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,9,Không
Nhà riêng,20,4500000000,2,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,11,Không
Đất nền dự án,80,11000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,2,Không
Căn hộ chung cư,66,3600000000,2,3,Nội thất đầy đủ,Không có thông tin,4/25/2025,9,Không
"Nhà biệt thự, liền kề",223.2,21000000000,5,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/12/2025,7,Không
Đất bán,105,23000000000,-1,-1,Không có thông tin,Sổ hồng,5/9/2025,2,Không
Căn hộ chung cư,59,2100000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,12,Dự án The ParkLand
Đất bán,200,44000000000,-1,-1,Không có thông tin,Không có thông tin,4/28/2025,2,Không
Nhà mặt phố,119,21000000000,3,3,Không có thông tin,Không có thông tin,5/16/2025,2,Không
"Nhà biệt thự, liền kề",160,40000000000,6,3,Nội thất sang trọng,Không có thông tin,5/9/2025,2,Không
Căn hộ chung cư,59,2200000000,2,3,Nội thất sang trọng,Sổ đỏ và sổ hồng,5/3/2025,12,Dự án The ParkLand
Nhà mặt phố,145,30000000000,1,1,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,2,Không
Nhà riêng,43,5900000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Căn hộ chung cư,219.3,17000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Dự án Him Lam Riverside
Nhà riêng,160,6200000000,2,1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,118.6,7000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Dự án Him Lam Riverside
Nhà riêng,48,3350000000,1,1,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Nhà riêng,77,6500000000,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/16/2025,2,Không
Nhà mặt phố,100.3,31000000000,3,6,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,4,Không
Căn hộ chung cư,70,19500000000,2,3,Không có thông tin,Không có thông tin,5/12/2025,2,Không
Căn hộ chung cư,50,10000000000,1,3,Nội thất đầy đủ,Không có thông tin,5/15/2025,2,Dự án The Galleria Residence
Căn hộ chung cư,230,35000000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/3/2025,2,Không
Nhà mặt phố,120,28500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/16/2025,3,Không
Căn hộ chung cư,103,28000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,2,Không
Căn hộ chung cư,252,31000000000,4,3,Nội thất sang trọng,Hợp đồng mua bán,5/17/2025,2,Không
Căn hộ chung cư,35.6,2300000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,3,Không
Đất nền dự án,126,7308000000,-1,-1,Không có thông tin,Không có thông tin,5/8/2025,9,Dự án Khang An
Nhà riêng,125,13900000000,7,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,10,Không
Nhà riêng,96,9000000000,4,3,Không nội thất,Sổ đỏ và sổ hồng,5/17/2025,Bình Chánh,Không
Đất bán,138,9798000000,-1,-1,Không có thông tin,Sổ hồng,5/15/2025,9,Không
Đất nền dự án,82,4400000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/11/2025,9,Không
Nhà riêng,57.6,9000000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Nhà riêng,64,7200000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Căn hộ chung cư,100,17200000000,3,3,Nội thất đầy đủ,Không có thông tin,5/3/2025,1,Không
Nhà riêng,123,15500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Nhà mặt phố,140,25990000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/11/2025,9,Không
Nhà riêng,56,11800000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Đất bán,62,6600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà mặt phố,100,10500000000,7,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Đất nền dự án,145,11600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/8/2025,9,Dự án KDC Kiến Á
Nhà mặt phố,110,15700000000,4,5,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Nhà mặt phố,100,,6,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Nhà mặt phố,105,16000000000,4,2,Không có thông tin,Không có thông tin,5/13/2025,6,Không
Nhà mặt phố,80,26000000000,6,6,Không có thông tin,Không có thông tin,5/3/2025,10,Không
"Nhà biệt thự, liền kề",90,,3,3,Không có thông tin,Không có thông tin,5/3/2025,7,Dự án Q7 Saigon Riverside
Nhà mặt phố,76,8900000000,3,2,Không có thông tin,Không có thông tin,5/16/2025,6,Không
Nhà mặt phố,93,24000000000,6,4,Không có thông tin,Sổ đỏ và sổ hồng,5/10/2025,6,Không
Căn hộ chung cư,72,2130000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Căn hộ chung cư,66,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Căn hộ Florita
Nhà mặt phố,90,14500000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Phú Mỹ Chợ Lớn
Nhà riêng,60.9,4200000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Nhà mặt phố,56,14500000000,3,3,Không có thông tin,Không có thông tin,5/14/2025,11,Không
Nhà mặt phố,68,14500000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,11,Không
Đất nền dự án,140,11200000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,9,Dự án KDC Nam Long
Nhà riêng,21,3750000000,2,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,4,Không
Nhà riêng,95,14800000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,10,Không
Nhà riêng,60.1,4380000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Nhà riêng,66,11500000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Nhà riêng,72,15000000000,6,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/15/2025,10,Không
Nhà riêng,42,8300000000,5,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/29/2025,10,Không
Nhà mặt phố,45,11500000000,5,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,10,Không
Căn hộ chung cư,77,4450000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/3/2025,7,Không
Căn hộ chung cư,62,1450000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,8,Không
Căn hộ chung cư,110.24,22040000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/13/2025,1,Không
Căn hộ chung cư,114,6200000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,2,Không
Nhà riêng,90,,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,8,Không
Căn hộ chung cư,60,2050000000,2,3,Nội thất cơ bản,Không có thông tin,4/23/2025,2,Dự án Blue Sky Tower
Nhà riêng,29,3850000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,47,2380000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,9,Không
Nhà riêng,61,5600000000,2,2,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/1/2025,7,Không
Đất nền dự án,238,19040000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/8/2025,9,Không
Căn hộ chung cư,97.51,6180000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/16/2025,9,Dự án Masteri Centre Point
Căn hộ chung cư,70,3530000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/17/2025,9,Dự án Glory Heights - Vinhomes Grand Park
Nhà mặt phố,136.72,20000000000,1,1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà riêng,55,9500000000,3,3,Không có thông tin,Không có thông tin,5/3/2025,3,Không
Căn hộ chung cư,58,4390000000,2,3,Nội thất đầy đủ,Không có thông tin,5/16/2025,3,Không
Đất nền dự án,90,7400000000,-1,-1,Không có thông tin,Không có thông tin,5/15/2025,9,Dự án Hưng Phú 1
Căn hộ chung cư,108,10500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà riêng,90,7550000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/16/2025,7,Không
Đất bán,96,13000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/14/2025,7,Không
Nhà mặt phố,187,13000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,12,Không
Căn hộ chung cư,124,4200000000,3,3,Nội thất đầy đủ,Sổ hồng,5/3/2025,7,Dự án Belleza Apartment
Căn hộ chung cư,71.4,6200000000,2,3,Nội thất đầy đủ,Không có thông tin,5/16/2025,3,Dự án Terra Royal
"Nhà biệt thự, liền kề",162,18000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Nhà mặt phố,72,11500000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/12/2025,12,Không
Nhà mặt phố,75,10500000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,12,Không
Căn hộ chung cư,71,4300000000,2,3,Nội thất cơ bản,Không có thông tin,5/3/2025,9,Dự án Masteri Centre Point
Nhà riêng,66.6,7470000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Không
Nhà mặt phố,64,3500000000,3,2,Nội thất cơ bản,Đang chờ sổ,5/13/2025,12,Không
Nhà mặt phố,80,6780000000,4,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Nhà mặt phố,80,17490000000,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Không
Nhà riêng,60.8,4500000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Nhà mặt phố,90,14000000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Không
Nhà mặt phố,160,14000000000,1,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/13/2025,12,Không
Nhà mặt phố,106,6500000000,3,3,Không có thông tin,Không có thông tin,5/14/2025,9,Không
Đất bán,70.6,3700000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,30,1750000000,1,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,9,Không
"Nhà biệt thự, liền kề",96,12800000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Nhà mặt phố,165,39000000000,3,7,Không có thông tin,Không có thông tin,5/3/2025,10,Không
Nhà riêng,60,4500000000,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Đất bán,54,4700000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/19/2025,9,Không
Nhà mặt phố,56,12900000000,4,4,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,4,Không
Nhà riêng,64,6000000000,4,2,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,6,Không
Nhà riêng,33,7550000000,7,5,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,4,Không
Nhà riêng,46,13800000000,4,6,Không có thông tin,Sổ đỏ và sổ hồng,5/8/2025,4,Không
Nhà mặt phố,120,7700000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Nhà riêng,40.56,8500000000,3,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,1,Không
Nhà riêng,65,3990000000,3,2,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Đất bán,117,5500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/27/2025,12,Không
Căn hộ chung cư,56,1390000000,2,3,Không có thông tin,Không có thông tin,5/17/2025,8,Dự án Dream Home Riverside
Nhà riêng,60,5950000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/11/2025,12,Không
Đất bán,227,16000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,9,Không
Đất bán,80,3950000000,-1,-1,Không có thông tin,Đang chờ sổ,4/30/2025,12,Không
"Nhà biệt thự, liền kề",100,22000000000,3,4,Không có thông tin,Không có thông tin,4/28/2025,2,Không
Đất bán,57,3350000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/11/2025,12,Không
Đất bán,52,2850000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,12,Không
Căn hộ chung cư,64.5,3500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/18/2025,7,Không
Căn hộ chung cư,31,1500000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,57,2150000000,2,3,Không nội thất,Hợp đồng mua bán,5/15/2025,7,Dự án Q7 Boulevard
Nhà riêng,81,5550000000,3,2,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,100,4200000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,9,Dự án MT Eastmark City
Nhà mặt phố,75,14550000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Không
Căn hộ chung cư,70,2650000000,2,3,Không nội thất,Hợp đồng mua bán,5/13/2025,7,Dự án Q7 Boulevard
Nhà riêng,120,17000000000,3,5,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/29/2025,9,Không
Căn hộ chung cư,65,2600000000,1,3,Không có thông tin,Không có thông tin,5/15/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,63.4,2580000000,1,3,Không có thông tin,Đang chờ sổ,5/3/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,73.4,3050000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,63.4,2700000000,1,3,Khác,Đang chờ sổ,5/15/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,63.4,2700000000,1,3,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,83,7200000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/13/2025,7,Không
Căn hộ chung cư,79,3150000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án The Eastern
Đất bán,50.6,3050000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,98,3650000000,3,3,Nội thất sang trọng,Sổ hồng,5/3/2025,9,Dự án The Eastern
Căn hộ chung cư,128,12500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,7,Dự án Garden Court 2
"Nhà biệt thự, liền kề",154,35200000000,5,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,2,Dự án An Phú New City
